english,word,score
unfaithful,infiel,1.70
disaster,desastre,1.60
jealousy,celos,2.27
accident,accidente,1.32
birthday,cumpleaños,7.54
fur,piel,6.19
decompose,descomposición,1.94
infection,infección,1.69
pervert,pervertido,1.96
bankrupt,bancarrota,1.63
romantic,romántico,7.99
politeness,cortesía,6.92
thief,ladrón,1.93
useless,inútil,2.09
nightmare,pesadilla,1.80
weapon,arma,1.81
crown,corona,5.21
love,amor,8.50
pillow,almohada,6.79
triumph,triunfo,7.89
quarrel,riña,2.16
boy,chico,7.13
ambulance,ambulancia,2.34
eat,comer,7.18
door,puerta,5.07
prairie,pradera,7.49
pride,orgullo,5.12
rattle,sonajero,6.06
ulcer,úlcera,1.70
hug,abrazo,8.13
dress,vestido,6.32
glory,gloria,6.90
errand,recado,4.43
sunset,ocaso,6.39
agility,agilidad,6.73
ship,barco,6.00
snob,snob,3.14
luxury,lujo,6.51
lie,mentira,1.88
easygoing,tolerante,7.66
cottage,casita,6.69
child,niño,7.34
stupid,estúpido,2.60
divorce,divorcio,2.28
fungus,hongo,2.91
bless,bendecir,5.70
slaughter,matanza,1.66
unhappy,infeliz,1.43
music,música,8.16
learn,aprender,7.13
sweetheart,novio,7.49
grief,pena,1.60
beggar,mendigo,2.92
justice,justicia,7.00
window,ventana,5.88
contents,contenido,5.21
devil,diablo,2.70
trouble,problema,1.89
liberty,liberación,7.97
seasick,mareado,2.01
employment,empleo,6.34
beauty,belleza,7.47
foul,fétido,2.14
death,muerte,1.23
paradise,paraíso,8.24
health,salud  ,7.74
girl,chica,5.97
warmth,calor,5.92
corpse,cadáver,1.41
kindness,amabilidad,8.22
sapphire,zafiro,6.71
hide,esconder,3.63
puppy,cachorro,7.21
poison,ponzoña,3.39
wise,sabio,7.14
freedom,libertad,8.54
bowl,cuenco,5.01
mountain,montaña,6.49
brother,hermano,7.81
snuggle,acurrucarse,6.98
rude,maleducado,2.21
pencil,lápiz,4.98
rescue,rescate,7.27
debt,deuda,1.92
rape,violación,1.11
hammer,martillo,4.38
rotten,podrido,1.91
butter,mantequilla,5.20
detest,detestar,2.18
savior,salvador,6.89
victory,victoria,7.93
cute,mono,5.29
filth,roña,1.94
kerosene,queroseno,3.19
plant,planta,6.46
fragrance,fragancia,7.76
tragedy,tragedia,1.64
coffin,ataúd,1.63
bomb,bomba,1.42
scurvy,escorbuto,2.22
butterfly,mariposa,6.74
vampire,vampiro,3.49
vandal,vándalo,2.49
slum,suburbio,2.50
depression,depresión,1.56
riot,disturbio,2.57
achievement,logro,8.01
moment,momento,6.00
crucify,crucificar,1.87
city,ciudad,5.66
honor,honor,7.36
life,vida,8.07
trust,confianza,7.78
ugly,feo,3.08
cemetery,cementerio,2.06
ambition,ambición,5.01
valentine,enamorado,8.33
hatred,odio,1.74
refreshment,refrigerio,5.18
cyclone,ciclón,2.13
venom,veneno,1.67
cockroach,cucaracha,2.57
brutal,brutal,1.90
smallpox,viruela,1.77
scorn,desdén,3.08
gangrene,gangrena,1.68
custom,costumbre,5.43
crash,choque,2.01
roach,ciempiés,4.12
joy,júbilo,7.61
village,pueblo,6.52
diploma,diploma,7.46
waterfall,cascada,7.20
glacier,glaciar,5.76
money,dinero,7.46
king,rey,4.98
demon,demonio,2.91
failure,fracaso,1.64
candy,caramelo,7.33
pest,peste,1.53
annoy,fastidiar,2.26
fraud,fraude,1.86
flower,flor,7.34
thrill,estremecerse,3.67
jelly,mermelada,5.93
silk,seda,6.73
happy,feliz,8.37
despise,despreciar,1.98
elegant,elegante,7.23
family,familia,8.18
peace,paz,8.11
bird,pájaro,6.43
betray,traicionar,1.58
leprosy,lepra,1.42
world,mundo,6.57
poetry,poesía,7.23
cozy,acogedor,7.64
assault,agresión,1.67
vacation,descanso,7.52
history,historia,5.37
star,estrella,7.52
luscious,exquisito,7.44
spirit,espíritu,5.51
party,fiesta,8.26
tomb,tumba,1.74
syphilis,sífilis,1.60
waste,desperdicio,2.70
heaven,cielo,7.56
mother,madre,8.19
rabies,rabia,2.33
cake,tarta,7.26
traitor,traidor,1.53
cheer,ánimo,7.36
tree,árbol,6.53
scum,escoria,1.87
passion,pasión,7.84
afraid,miedoso,2.57
fat,gordo,3.56
theory,teoría,4.59
priest,cura,4.52
movie,película,7.14
river,río,7.03
idiot,idiota,2.56
reward,recompensa,7.60
agony,agonía,1.74
rage,cólera,2.11
morbid,morboso,4.29
caress,caricia,8.27
laughter,risa,8.34
wedding,boda,6.87
green,verde,6.43
loneliness,soledad,2.50
dreadful,espantoso,2.18
poverty,pobreza,1.54
suicide,suicidio,1.24
torture,tortura,1.24
table,mesa,4.80
salute,saludo,6.86
autumn,otoño,5.17
maggot,gusano,2.99
breast,seno,5.81
vision,visión,6.82
miracle,milagro,6.84
excitement,entusiasmo,7.86
blackmail,chantaje,2.13
wine,vino,4.88
circus,circo,6.20
dagger,daga,3.66
enjoyment,goce,8.09
sleep,dormir,7.79
tornado,tornado,2.24
spouse,esposo,6.03
wasp,avispa,2.54
blubber,lloriqueo,2.22
wicked,malvado,1.80
measles,sarampión,1.84
improve,mejorar,7.46
excellence,excelencia,6.01
gloom,pesimismo,2.06
glamour,glamour,5.94
vomit,vómito,1.76
champion,vencedor,7.39
disloyal,desleal,1.74
fire,fuego,5.00
rainbow,arco-iris,7.39
opinion,opinión,6.34
trumpet,trompeta,5.19
scholar,erudito,5.83
vehicle,vehículo,6.33
jail,cárcel,1.87
talent,talento,7.44
guillotine,guillotina,1.87
whore,furcia,2.66
shadow,sombra,4.03
fame,fama,5.46
charm,encanto,7.68
vanity,vanidad,2.83
beach,playa,8.07
respect,respeto,7.27
blind,ciego,2.41
father,padre,7.00
horse,caballo,6.36
pollute,contaminar,1.58
slave,esclavo,1.62
pie,pastel,7.18
privacy,privacidad,6.08
win,ganar,7.84
humiliate,humillar,1.68
lice,piojos,1.90
angel,ángel,6.87
humor,humor,7.70
salad,ensalada,6.12
dream,sueño,6.60
treasure,tesoro,7.27
prison,prisión,1.98
engaged,comprometido,6.23
deserter,desertor,3.38
anger,enfado,2.50
abuse,maltrato,1.39
seat,asiento,5.70
context,contexto,5.00
person,persona,6.89
industry,industria,4.21
ink,tinta,4.62
war,guerra,1.23
hospital,hospital,2.07
sickness,enfermedad,1.51
promotion,promoción,5.89
slap,bofetada,2.06
louse,piojo,1.97
knowledge,conocimiento,7.73
execution,ejecución,2.48
honest,honesto,7.52
sin,pecado,3.92
gift,obsequio,7.80
paralysis,parálisis,1.33
stink,follón,2.62
memory,memoria,6.41
patent,patente,4.77
army,ejército,2.49
earth,tierra,5.63
virtue,virtud,7.27
rusty,oxidado,3.11
success,éxito,7.69
orchestra,orquesta,6.24
